Class,Recall,Precision,AP
UA,1.0,0.2403846153846154,0.9185869631995155
UA,1.0,0.24154589371980675,0.9185869631995155
UA,1.0,0.24271844660194175,0.9185869631995155
UA,1.0,0.24390243902439024,0.9185869631995155
UA,1.0,0.24509803921568626,0.9185869631995155
UA,1.0,0.24630541871921183,0.9185869631995155
UA,1.0,0.24752475247524752,0.9185869631995155
UA,1.0,0.24875621890547264,0.9185869631995155
UA,1.0,0.25,0.9185869631995155
UA,1.0,0.25125628140703515,0.9185869631995155
UA,1.0,0.25252525252525254,0.9185869631995155
UA,1.0,0.25380710659898476,0.9185869631995155
UA,1.0,0.25510204081632654,0.9185869631995155
UA,1.0,0.2564102564102564,0.9185869631995155
UA,1.0,0.25773195876288657,0.9185869631995155
UA,1.0,0.25906735751295334,0.9185869631995155
UA,1.0,0.2604166666666667,0.9185869631995155
UA,1.0,0.2617801047120419,0.9185869631995155
UA,1.0,0.2631578947368421,0.9185869631995155
UA,1.0,0.26455026455026454,0.9185869631995155
UA,1.0,0.26595744680851063,0.9185869631995155
UA,1.0,0.26737967914438504,0.9185869631995155
UA,1.0,0.26881720430107525,0.9185869631995155
UA,1.0,0.2702702702702703,0.9185869631995155
UA,1.0,0.2717391304347826,0.9185869631995155
UA,1.0,0.273224043715847,0.9185869631995155
UA,1.0,0.27472527472527475,0.9185869631995155
UA,1.0,0.27624309392265195,0.9185869631995155
UA,1.0,0.2777777777777778,0.9185869631995155
UA,1.0,0.27932960893854747,0.9185869631995155
UA,1.0,0.2808988764044944,0.9185869631995155
UA,1.0,0.2824858757062147,0.9185869631995155
UA,1.0,0.2840909090909091,0.9185869631995155
UA,1.0,0.2857142857142857,0.9185869631995155
UA,1.0,0.28735632183908044,0.9185869631995155
UA,1.0,0.28901734104046245,0.9185869631995155
UA,1.0,0.29069767441860467,0.9185869631995155
UA,1.0,0.29239766081871343,0.9185869631995155
UA,1.0,0.29411764705882354,0.9185869631995155
UA,1.0,0.2958579881656805,0.9185869631995155
UA,1.0,0.2976190476190476,0.9185869631995155
UA,1.0,0.2994011976047904,0.9185869631995155
UA,1.0,0.30120481927710846,0.9185869631995155
UA,1.0,0.30303030303030304,0.9185869631995155
